total_energy,dir,name
-2248.42548621,/home/shaharpit/MeamGdH/dft/hydrogen_effect/vc_relax/,fcc_100
-2250.78837227,/home/shaharpit/MeamGdH/dft/hydrogen_effect/vc_relax/,fcc_125
-2243.38430169,/home/shaharpit/MeamGdH/dft/hydrogen_effect/vc_relax/,fcc_50
-2240.91732706,/home/shaharpit/MeamGdH/dft/hydrogen_effect/vc_relax/,fcc_25
-2248.21582333,/home/shaharpit/MeamGdH/dft/hydrogen_effect/vc_relax/,hcp_100
-2245.89629761,/home/shaharpit/MeamGdH/dft/hydrogen_effect/vc_relax/,fcc_75
-2240.92803006,/home/shaharpit/MeamGdH/dft/hydrogen_effect/vc_relax/,hcp_25
-2250.62095087,/home/shaharpit/MeamGdH/dft/hydrogen_effect/vc_relax/,hcp_125
-2243.37520585,/home/shaharpit/MeamGdH/dft/hydrogen_effect/vc_relax/,hcp_50
-2245.73498142,/home/shaharpit/MeamGdH/dft/hydrogen_effect/vc_relax/,hcp_75
